127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000255
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000267
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001152
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001155
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001654
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002663
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001448
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002915
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001559
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001875
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003516
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001683
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002778
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002234
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001144
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002150
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.002793
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.001266
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001314
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000404
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/default/edit/cvs/models/user.py, HTTP/1.1, 200, 0.064042
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.000905
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.085166
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.089237
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116787
127.0.0.1, 2019-06-22 08:51:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.365165
127.0.0.1, 2019-06-22 08:51:16, GET, /cvs/appadmin/hooks, HTTP/1.1, 500, 0.839191
127.0.0.1, 2019-06-22 08:51:34, GET, /admin/default/edit/cvs/modules/__init__.py, HTTP/1.1, 200, 0.013720
127.0.0.1, 2019-06-22 08:51:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.004668
127.0.0.1, 2019-06-22 08:51:47, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.092566
127.0.0.1, 2019-06-22 08:51:51, GET, /cvs/appadmin/d3_graph_model, HTTP/1.1, 500, 0.612238
127.0.0.1, 2019-06-22 08:51:56, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.077599
127.0.0.1, 2019-06-22 08:51:58, GET, /admin/default/peek/cvs/databases/sql.log, HTTP/1.1, 200, 0.063118
127.0.0.1, 2019-06-22 08:52:07, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.052787
